,tournament,stage,home,score,away,url,first_shooter,First_team_wins
0,Club world cup,Second Round,Wydad AC,3:5 PSO,Al-Hilal,https://www.transfermarkt.com/spielbericht/index/spielbericht/4018742,Al-Hilal,1
1,Club world cup,Third Place Play-Off,Monterrey,4:3 PSO,Al-Hilal,https://www.transfermarkt.com/spielbericht/index/spielbericht/3293375,Al-Hilal,0
2,Club world cup,Semi-Finals,River Plate,4:5 PSO,Al-Ain,https://www.transfermarkt.com/spielbericht/index/spielbericht/3136248,Al-Ain,1
3,Club world cup,Third Place Play-Off,América,3:4 PSO,Atl. Nacional,https://www.transfermarkt.com/spielbericht/index/spielbericht/2806803,América,0
4,Club world cup,5th place match,ES Sétif,5:4 PSO,Western Sydney,https://www.transfermarkt.com/spielbericht/index/spielbericht/2518319,Western Sydney,0
5,Club world cup,Third Place Play-Off,Kashiwa Reysol,3:5 PSO,Al-Sadd,https://www.transfermarkt.com/spielbericht/index/spielbericht/1174207,Al-Sadd,1
6,Club world cup,5th place match,Pachuca,4:2 PSO,Al-Wahda,https://www.transfermarkt.com/spielbericht/index/spielbericht/1069078,Pachuca,1
7,Club world cup,Third Place Play-Off,ES Sahel,2:4 PSO,Urawa Reds,https://www.transfermarkt.com/spielbericht/index/spielbericht/991937,Urawa Reds,1
8,Club world cup,Final,Vasco da Gama,3:4 PSO,Corinthians,https://www.transfermarkt.com/spielbericht/index/spielbericht/2301396,Corinthians,1
9,Club world cup,Third Place Play-Off,Ahly SC,3:2 PSO,Palmeiras,https://www.transfermarkt.com/spielbericht/index/spielbericht/3519510,Ahly SC,1
10,Club world cup,5th place match,Esperance,6:5 PSO,Chivas,https://www.transfermarkt.com/spielbericht/index/spielbericht/3136249,Chivas,0
11,Club world cup,Qualifying Round,Al-Ain,4:3 PSO,Team Wellington,https://www.transfermarkt.com/spielbericht/index/spielbericht/3126074,Al-Ain,1
12,Club world cup,Third Place Play-Off,CD Cruz Azul,2:4 PSO,Auckland City,https://www.transfermarkt.com/spielbericht/index/spielbericht/2518506,Auckland City,1
13,Club world cup,First Round,Moghreb Tétouan,3:4 PSO,Auckland City,https://www.transfermarkt.com/spielbericht/index/spielbericht/2511580,Auckland City,1
14,Club world cup,Quarter-Finals,Kashiwa Reysol,4:3 PSO,Monterrey,https://www.transfermarkt.com/spielbericht/index/spielbericht/1170429,Monterrey,0
15,Club world cup,Third Place Play-Off,Pohang Steelers,4:3 PSO,Atlante,https://www.transfermarkt.com/spielbericht/index/spielbericht/988665,Atlante,0
16,Club world cup,Third Place Play-Off,Real Madrid,3:4 PSO,Necaxa,https://www.transfermarkt.com/spielbericht/index/spielbericht/2301395,Real Madrid,0
0,Afcon,Third Place Play-Off,South Africa,6:5 PSO,DR Congo,https://www.transfermarkt.com/spielbericht/index/spielbericht/4283994,South Africa,1
1,Afcon,Quarter-Finals,Cape Verde,1:2 PSO,South Africa,https://www.transfermarkt.com/spielbericht/index/spielbericht/4279375,Cape Verde,0
2,Afcon,Round of 16,Egypt,7:8 PSO,DR Congo,https://www.transfermarkt.com/spielbericht/index/spielbericht/4273514,Egypt,0
3,Afcon,Third Place Play-Off,Burkina Faso,3:5 PSO,Cameroon,https://www.transfermarkt.com/spielbericht/index/spielbericht/3744818,Cameroon,1
4,Afcon,Round of 16,Ivory Coast,4:5 PSO,Egypt,https://www.transfermarkt.com/spielbericht/index/spielbericht/3735716,Ivory Coast,0
5,Afcon,Round of 16,Burkina Faso,7:6 PSO,Gabon,https://www.transfermarkt.com/spielbericht/index/spielbericht/3735709,Gabon,0
6,Afcon,Round of 16,Ghana,4:5 PSO,Tunisia,https://www.transfermarkt.com/spielbericht/index/spielbericht/3207275,Ghana,0
7,Afcon,Round of 16,Morocco,1:4 PSO,Benin,https://www.transfermarkt.com/spielbericht/index/spielbericht/3207268,Benin,1
8,Afcon,Quarter-Finals,Senegal,4:5 PSO,Cameroon,https://www.transfermarkt.com/spielbericht/index/spielbericht/2817761,Senegal,0
9,Afcon,Third Place Play-Off,DR Congo,4:2 PSO,Equat. Guinea,https://www.transfermarkt.com/spielbericht/index/spielbericht/2533046,Equat. Guinea,0
10,Afcon,Quarter-Finals,South Africa,1:3 PSO,Mali,https://www.transfermarkt.com/spielbericht/index/spielbericht/2289021,South Africa,0
11,Afcon,Quarter-Finals,Gabon,4:5 PSO,Mali,https://www.transfermarkt.com/spielbericht/index/spielbericht/1183027,Gabon,0
12,Afcon,Final,Egypt,4:2 PSO,Ivory Coast,https://www.transfermarkt.com/spielbericht/index/spielbericht/1053038,Egypt,1
13,Afcon,Quarter-Finals,Nigeria,6:5 PSO,Tunisia,https://www.transfermarkt.com/spielbericht/index/spielbericht/1053033,Nigeria,1
14,Afcon,Final,Senegal,2:3 PSO,Cameroon,https://www.transfermarkt.com/spielbericht/index/spielbericht/2386701,Cameroon,1
15,Afcon,Third Place Play-Off,South Africa,4:3 PSO,Tunisia,https://www.transfermarkt.com/spielbericht/index/spielbericht/2386829,Tunisia,0
